Symbol,Name,HGNC_ID,Evidence,Test method,Test in,Test setting,Pathway,Confidence,Caution,Protein encoded,UniProtKB,PMID,Remark
TFRC,Transferrin receptor,HGNC:11763,RNAi of transferrin receptor (TfR) inhibited ferroptosis.,RNAi,Mice,Mouse embryonic fibroblasts,TFRC :+: Ferroptosis,Validated,_NA_,Transferrin receptor protein 1,P02786 (TFR1_HUMAN),26166707,Tfr in article
TFR2,Transferrin receptor 2,HGNC:11762,RNAi of transferrin receptor (TfR) inhibited ferroptosis.,RNAi,Mice,Mouse embryonic fibroblasts,TFR2 :+: Ferroptosis,Validated,_NA_,Transferrin receptor protein 2,Q9UP52 (TFR2_HUMAN),26166707,Tfr in article
SLC38A1,Solute carrier family 38 member 1,HGNC:13447,RNAi knockdown markedly blocked ferroptosis.,"RNAi knockdown, cell survival analysis",Mice,Mouse embryonic fibroblasts,"SLC38A1 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis",Validated,_NA_,Sodium-coupled neutral amino acid transporter 1,Q9H2H9 (S38A1_HUMAN),26166707,_NA_
SLC1A5,Solute carrier family 1 member 5,HGNC:10943,Pharmacological inhibition by L-g-glutamyl-p-nitroanilide or RNAi knockdown markedly blocked ferroptosis.,"RNAi knockdown, cell survival analysis",Mice,Mouse embryonic fibroblasts,"SLC1A5 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis",Validated,_NA_,Neutral amino acid transporter B(0),Q15758 (AAAT_HUMAN),26166707,_NA_
GLS2,Glutaminase 2,HGNC:29570,Both inhibitor inhibition and gene knockdown inhibit ferroptotic cell death.,"shRNA, western blot, cell viability",Mice,Mouse embryonic fibroblasts,"GSL2 :+: Glutamate, Glutamate :+: Ferroptosis",Validated,_NA_,Glutaminase liver isoform,Q9UI32 (GLSL_HUMAN),26166707,_NA_
GOT1,Glutamic-oxaloacetic transaminase 1,HGNC:4432,RNAi reduced ferroptosis.,"shRNA, qPCR, cell viability",Mice,Mouse embryonic fibroblasts,"GOT1 :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis",Validated,_NA_,Aspartate aminotransferase,P17174 (AATC_HUMAN),26166707,_NA_
CARS1,Cysteinyl-tRNA synthetase 1,HGNC:1493,"Required for ferroptosis in diverse cell contexts. Knockdown of CARS inhibited erastin-induced death by preventing the induction of lipid reactive oxygen species, without altering iron homeostasis.","siRNA screen, shRNA, western blot, cell viability","Human, rat","HT-1080 fibrosarcoma cells,BJeLR fibroblast cells, Panc1 cells, A673 (Ewing’s sarcoma) and 143B (osteosarcoma) cells, PC12 cells","CARS1 :-: Transsulfuration pathway, Transsulfuration pathway :-: Ferroptosis",Validated,_NA_,Cysteine--tRNA ligase,P49589 (SYCC_HUMAN),26184909,CARS in article
TP53,Tumor protein p53,HGNC:11998,Wild type p53 can induce ferroptosis upon reactive oxygen species (ROS)-induced stress.,"Cell death quantification, western blot",Human,H1299 cells,"TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,_NA_,Cellular tumor antigen p53,P04637 (P53_HUMAN),26218928,p53 in article
ALOX5,Arachidonate 5-lipoxygenase,HGNC:435,The 5-Lipoxygenase inhibitor zileuton protected HT22 neuronal cells from erastin-induced ferroptosis.,"Cell Viability Assay, ROS measurement",Mice,HT22 mouse neuronal cell line,"ALOX5 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Arachidonate 5-lipoxygenase,P09917 (LOX5_HUMAN),26235588,5-LOX in article
KEAP1,Kelch like ECH associated protein 1,HGNC:23177,Knockdown of Keap1 reversed loss of p62-increased degradation of NRF2 in ferroptosis. Keap1 knockdown led to resistance to erastin-induced and sorafenib-induced growth inhibition with decreased ferroptotic events in the absence or presence of p62 knockdown.,"Western blot, shRNA knockdown, cell viability","Human, mice","HepG2, Hepa1‐6, Hep3B, and SNU‐182 cells","KEAP1 :-: NFE2L2, NFE2L2 :-: Ferroptosis",Validated,_NA_,Kelch-like ECH-associated protein 1,Q14145 (KEAP1_HUMAN),26403645,_NA_
HMOX1,Heme oxygenase 1,HGNC:5013,"Zinc protoporphyrin IX, a HO-1 inhibitor, prevented Erastin-triggered ferroptotic cancer cell death. Overexpression accelerates erastin-induced cell death.","Cell viability assay, qRT-PCR, western blot","Human, mice","HT-1080 fibrosarcoma cells, mice lung fibroblastic cells","HMOX1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,"Other articles (PMID 26403645, 28515173) suggest it a suppressor.",Heme oxygenase 1,P09601 (HMOX1_HUMAN),26405158,HO-1 in article
TP53,Tumor protein p53,HGNC:11998,p53^3KR/3KR Xrcc4^-/- MEF cells are very sensitive to ferroptosis. Stabilized in the spleens of p53^3KR/3KR Xrcc4^-/- mice which enables to prevent the development of pro-B-cell lymphomas.,"Western blot, qRT-PCR, cell viability",Mice,"p53^3KR/3KR Xrcc4^-/- MEF cells, p53^3KR/3KR Xrcc4^-/- mice","TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,_NA_,Cellular tumor antigen p53,P04637 (P53_HUMAN),26943586,p53 in article
TP53,Tumor protein p53,HGNC:11998,Incubation with erastin led to profound cell death in wild-type MEFs.,"Cell viability assay, phase-contrast microscopy","Human, mice","Mouse embryonic fibroblasts, lymphoblastoid cell lines","TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,_NA_,Cellular tumor antigen p53,P04637 (P53_HUMAN),27034505,p53 in article
GLS2,Glutaminase 2,HGNC:29570,"Upregulated in erastin-treated wild-type MEFs, and silencing Gls2 exihibits cell death defect in wild-type MEFs treated with erastin.","Cell viability assay,western blot",Mice,Mouse embryonic fibroblasts,GLS2 :+: Ferroptosis,Validated,_NA_,Glutaminase liver isoform,Q9UI32 (GLSL_HUMAN),27034505,_NA_
ATG5,Autophagy related 5,HGNC:589,Knockout or knockdown limited erastin-induced ferroptosis.,shRNA,"Human, mice","Mouse embryonic fibroblasts, human pancreatic cancer cell lines (PANC1 and PANC2.03), and the human fibrosarcoma cell line HT-1080",ATG5 :+: Ferroptosis,Validated,_NA_,Autophagy protein 5,Q9H1Y0 (ATG5_HUMAN),27245739,_NA_
ATG7,Autophagy related 7,HGNC:16935,Knockout or knockdown limited erastin-induced ferroptosis.,shRNA,"Human, mice","Mouse embryonic fibroblasts, human pancreatic cancer cell lines (PANC1 and PANC2.03), and the human fibrosarcoma cell line HT-1081",ATG7 :+: Ferroptosis,Validated,_NA_,Ubiquitin-like modifier-activating enzyme ATG7,O95352 (ATG7_HUMAN),27245739,_NA_
NCOA4,Nuclear receptor coactivator 4,HGNC:7671,"Inhibition suppressed ferroptosis, and overexpression promoted ferroptosis.","shRNA, gene transfection",Human,PANC1 or HT-1080 cells,"NCOA4 :-: FTH1, FTH1 :-: Ferroptosis",Validated,_NA_,Nuclear receptor coactivator 4,Q13772 (NCOA4_HUMAN),27245739,_NA_
TF,Transferrin,HGNC:11740,Involved in siramesine and lapatinib-induced ferroptotic cell death. Increased following treatment with lapatinib alone or in combination with siramesine. Knocking down of transferrin resulted in decreased cell death and ROS after treatment.,"Western blot, densitometry quantification, siRNA, gene transfection, cell death test",Human,MDA MB 231 and SKBr3 cells,"TF :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Serotransferrin,P02787 (TRFE_HUMAN),27441659,Transferrin in article
ALOX5,Arachidonate 5-lipoxygenase,HGNC:435,Silencing ALOX genes made cells resistant to ferroptosis.,qPCR,Human,G-401 cells,"ALOX5 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",Validated,_NA_,Arachidonate 5-lipoxygenase,P09917 (LOX5_HUMAN),27506793,_NA_
ALOX12,"Arachidonate 12-lipoxygenase, 12S type",HGNC:429,Silencing ALOX genes made cells resistant to ferroptosis.,qPCR,Human,G-401 cells,"ALOX12 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",Validated,_NA_,Arachidonate 12-lipoxygenase,P18054 (LOX12_HUMAN),27506793,_NA_
ALOX12B,"Arachidonate 12-lipoxygenase, 12R type",HGNC:430,Silencing ALOX genes made cells resistant to ferroptosis.,qPCR,Human,G-401 cells,"ALOX12B :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",Validated,_NA_,Arachidonate 12-lipoxygenase,O75342 (LX12B_HUMAN),27506793,_NA_
ALOX15,Arachidonate 15-lipoxygenase,HGNC:433,Silencing ALOX genes made cells resistant to ferroptosis.,qPCR,Human,G-401 cells,"ALOX15 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",Validated,_NA_,Arachidonate 15-lipoxygenase,P16050 (LOX15_HUMAN),27506793,_NA_
ALOX15B,Arachidonate 15-lipoxygenase type B,HGNC:434,"Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis.","qPCR, siRNA",Human,"G-401, BJeLR and HT-1080 cells","ALOX15B :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",Validated,_NA_,Arachidonate 15-lipoxygenase B,O15296 (LX15B_HUMAN),27506793,_NA_
ALOXE3,Arachidonate lipoxygenase 3,HGNC:13743,"Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis.","qPCR, siRNA",Human,"G-401, BJeLR and HT-1080 cells","ALOXE3 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",Validated,_NA_,Hydroperoxide isomerase ALOXE3,Q9BYJ1 (LOXE3_HUMAN),27506793,_NA_
PHKG2,Phosphorylase kinase catalytic subunit gamma 2,HGNC:8931,U-2-OS cells became resistant to erastin upon PHKG2 silencing. Erastin-treated HT-1080 cells were rescued by shPHKG2.,"shRNA suppressor screen, qPCR, cellular iron staining, cell viability",Human,"U-2-OS, HT-1080 cells","PHKG2 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",Validated,_NA_,Phosphorylase b kinase gamma catalytic chain,P15735 (PHKG2_HUMAN),27506793,_NA_
TFRC,Transferrin receptor,HGNC:11763,The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"TFRC :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Transferrin receptor protein 1,P02786 (TFR1_HUMAN),27514700,_NA_
ACO1,Aconitase 1,HGNC:117,The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"ACO1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Cytoplasmic aconitate hydratase,P21399 (ACOC_HUMAN),27514700,_NA_
IREB2,iron responsive element binding protein 2,HGNC:6115,The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"IREB2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Iron-responsive element-binding protein 2,P48200 (IREB2_HUMAN),27514700,_NA_
SLC38A1,Solute carrier family 38 member 1,HGNC:13447,The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"SLC38A1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Sodium-coupled neutral amino acid transporter 1,Q9H2H9 (S38A1_HUMAN),27514700,_NA_
GLS2,Glutaminase 2,HGNC:29570,The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"GLS2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Glutaminase liver isoform,Q9UI32 (GLSL_HUMAN),27514700,_NA_
G6PDX,_NA_,_NA_,The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"G6PDX :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,_NA_,_NA_,27514700,Not found in HGNC
ULK1,Unc-51 like autophagy activating kinase 1,HGNC:12558,Potential positive regulators of ferroptosis. Knockout of ULK1 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.,"RNAi screening, gene knockout",Mice,Mouse embryonic fibroblasts,"ULK1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Serine/threonine-protein kinase ULK1,O75385 (ULK1_HUMAN),27514700,_NA_
ATG3,Autophagy related 3,HGNC:20962,"Potential positive regulators of ferroptosis. Knockout of ATG3 greatly reduced the sensitivity of MEFs to ferropotosis, and reconstituting ATG3 back to these cells restored the ferroptosis sensitivity.","RNAi screening, gene knockout",Mice,Mouse embryonic fibroblasts,"ATG3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Ubiquitin-like-conjugating enzyme ATG3,Q9NT62 (ATG3_HUMAN),27514700,_NA_
ATG4D,Autophagy related 4D cysteine peptidase,HGNC:20789,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"ATG4D :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Cysteine protease ATG4D,Q86TL0 (ATG4D_HUMAN),27514700,_NA_
ATG5,Autophagy related 5,HGNC:589,Potential positive regulators of ferroptosis. Knockout of ATG5 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.,RNAi screening,Mice,Mouse embryonic fibroblasts,"ATG5 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Autophagy protein 5,Q9H1Y0 (ATG5_HUMAN),27514700,_NA_
BECN1,Beclin 1,HGNC:1034,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"BECN1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Beclin-1,Q14457 (BECN1_HUMAN),27514700,_NA_
MAP1LC3A,Microtubule associated protein 1 light chain 3 alpha,HGNC:6838,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"MAP1LC3A :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Microtubule-associated proteins 1A/1B light chain 3A,Q9H492 (MLP3A_HUMAN),27514700,_NA_
GABARAPL2,GABA type A receptor associated protein like 2,HGNC:13291,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"GABARAPL2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Gamma-aminobutyric acid receptor-associated protein-like 2,P60520 (GBRL2_HUMAN),27514700,_NA_
GABARAPL1,GABA type A receptor associated protein like 1,HGNC:4068,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"GABARAPL1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Gamma-aminobutyric acid receptor-associated protein-like 1,Q9H0R8 (GBRL1_HUMAN),27514700,_NA_
ATG16L1,Autophagy related 16 like 1,HGNC:21498,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"ATG16L1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Autophagy-related protein 16-1,Q676U5 (A16L1_HUMAN),27514700,_NA_
WIPI1,"WD repeat domain, phosphoinositide interacting 1",HGNC:25471,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"WIPI1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,WD repeat domain phosphoinositide-interacting protein 1,Q5MNZ9 (WIPI1_HUMAN),27514700,_NA_
WIPI2,"WD repeat domain, phosphoinositide interacting 2",HGNC:32225,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"WIPI2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,WD repeat domain phosphoinositide-interacting protein 2,Q9Y4P8 (WIPI2_HUMAN),27514700,_NA_
SNX4,Sorting nexin 4,HGNC:11175,Potential positive regulators of ferroptosis.,RNAi screening,Mice,Mouse embryonic fibroblasts,"SNX4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Screened,_NA_,Sorting nexin-4,O95219 (SNX4_HUMAN),27514700,_NA_
ATG13,Autophagy related 13,HGNC:29091,"Knockout of ATG13 greatly reduced the sensitivity of MEFs to ferropotosis, and reconstituting ATG13 back to these cells restored the ferroptosis sensitivity.",Gene knockout,Mice,Mouse embryonic fibroblasts,"ATG13 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Autophagy-related protein 13,O75143 (ATG13_HUMAN),27514700,_NA_
ULK2,Unc-51 like autophagy activating kinase 2,HGNC:13480,Knockout of ULK2 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.,Gene knockout,Mice,Mouse embryonic fibroblasts,"ULK2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Serine/threonine-protein kinase ULK2,Q8IYT8 (ULK2_HUMAN),27514700,_NA_
