Symbol,Name,HGNC_ID,Evidence,Test method,Test in,Test setting,Confidence,Caution,Protein encoded,UniProtKB,PMID,Remark
VEGFA,Vascular endothelial growth factor A,HGNC:12680,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Vascular endothelial growth factor A,P15692 (VEGFA_HUMAN),24844246,May promote ferroptosis.
GDF15,Growth differentiation factor 15,HGNC:30142,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Growth/differentiation factor 15,Q99988 (GDF15_HUMAN),24844246,May promote ferroptosis.
TUBE1,Tubulin epsilon 1,HGNC:20775,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Tubulin epsilon chain,Q9UJT0 (TBE_HUMAN),24844246,May promote ferroptosis.
ARRDC3,Arrestin domain containing 3,HGNC:29263,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Arrestin domain-containing protein 3,Q96B67 (ARRD3_HUMAN),24844246,May promote ferroptosis.
CEBPG,CCAAT enhancer binding protein gamma,HGNC:1837,Up-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,CCAAT/enhancer-binding protein gamma,P53567 (CEBPG_HUMAN),24844246,May promote ferroptosis.
SNORA16A,"Small nucleolar RNA, H/ACA box 16A",HGNC:32605,Down-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,_NA_,_NA_,24844246,May inhibit ferroptosis.
RGS4,Regulator of G protein signaling 4,HGNC:10000,Down-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,Regulator of G-protein signaling 4,P49798 (RGS4_HUMAN),24844246,May inhibit ferroptosis.
BLOC1S5-TXNDC5,BLOC1S5-TXNDC5 readthrough (NMD candidate),HGNC:42001,Down-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,_NA_,_NA_,24844246,MUTED-TXNDC5 in article. May inhibit ferroptosis.
LOC390705,_NA_,_NA_,Down-regulated (>= 2 fold) in erastin-treated samples.,RNA-seq,Human,HT-1080 cells,Screened,Further study needed to confirm connection to ferroptosis.,_NA_,_NA_,24844246,Not found in HGNC. May inhibit ferroptosis.
EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,HGNC:3265,Phosphorylated in erastin-treated sample.,Western blot,Human,HT-1080 cells,Deduced,_NA_,Eukaryotic translation initiation factor 2 subunit 1,P05198 (IF2A_HUMAN),24844246,eIF2alpha in article. May promote ferroptosis.
KIM-1,Kidney injury molecule-1,_NA_,Down-regulated upon Fer-1 appearance,Real-time quantitative RT-PCR,Mice,Fer-1–treated CaOx model,Deduced,_NA_,_NA_,_NA_,25385600,Not found in HGNC. May promote ferroptosis.
IL6,Interleukin 6,HGNC:6018,Down-regulated upon Fer-1 appearance,Real-time quantitative RT-PCR,Mice,Fer-1–treated CaOx model,Deduced,_NA_,Interleukin-6,P05231 (IL6_HUMAN),25385600,IL-6 in article. May promote ferroptosis.
CXCL2,C-X-C motif chemokine ligand 2,HGNC:4603,Down-regulated upon Fer-1 appearance,Real-time quantitative RT-PCR,Mice,Fer-1–treated CaOx model,Deduced,_NA_,C-X-C motif chemokine 2,P19875 (CXCL2_HUMAN),25385600,May promote ferroptosis.
RELA,"RELA proto-oncogene, NF-kB subunit",HGNC:9955,Down-regulated upon Fer-1 appearance,Real-time quantitative RT-PCR,Mice,Fer-1–treated CaOx model,Deduced,_NA_,Transcription factor p65,Q04206 (TF65_HUMAN),25385600,p65 in article. May promote ferroptosis.
HSD17B11,Hydroxysteroid 17-beta dehydrogenase 11,HGNC:22960,Enriched in RSL3-resistant cells.,Gene trap insertion,Human,Chronic myeloid leukemia cell line KBM7,Screened,_NA_,Estradiol 17-beta-dehydrogenase 11,Q8NBQ5 (DHB11_HUMAN),25965523,May promote ferroptosis.
AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3,HGNC:326,Enriched in RSL3-resistant cells.,Gene trap insertion,Human,Chronic myeloid leukemia cell line KBM7,Screened,_NA_,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,Q9NRZ7 (PLCC_HUMAN),25965523,May promote ferroptosis.
SETD1B,"SET domain containing 1B, histone lysine methyltransferase",HGNC:29187,Enriched in GPX4 inhibitor ML162-resistant cells.,Gene trap insertion,Human,Chronic myeloid leukemia cell line KBM7,Screened,_NA_,Histone-lysine N-methyltransferase SETD1B,Q9UPS6 (SET1B_HUMAN),25965523,May promote ferroptosis.
HMOX1,Heme oxygenase 1,HGNC:5013,"Its expression increased in response to artesunate-induced ferroptosis, indicating activation of ROS-mediated signaling pathways.",Western blotting,Human,Pancreatic adenocarcinoma cell line Panc-1 cells,Deduced,_NA_,Heme oxygenase 1,P09601 (HMOX1_HUMAN),26097885,HO-1 in article. May promote ferroptosis.
TF,Transferrin,HGNC:11740,Its expression is decreased in patients.,Gene expression analysis,Human,Patient PDAC tissues,Deduced,_NA_,Serotransferrin,P02787 (TRFE_HUMAN),26097885,May promote ferroptosis.
FTL,Ferritin light chain,HGNC:3999,Its expression  is decreased in patients.,Gene expression analysis,Human,Patient PDAC tissues,Deduced,_NA_,Ferritin light chain,P02792 (FRIL_HUMAN),26097885,May promote ferroptosis.
RPL8,Ribosomal protein L8,HGNC:10368,Significantly reduced in tumor tissues,Gene expression analysis,Human,Patient PDAC tissues,Deduced,_NA_,60S ribosomal protein L8,P62917 (RL8_HUMAN),26097885,May promote ferroptosis.
ATP5MC3,ATP synthase membrane subunit c locus 3,HGNC:843,Significantly reduced in tumor tissues,Gene expression analysis,Human,Patient PDAC tissues,Deduced,_NA_,ATP synthase F(0) complex subunit C3,P48201 (AT5G3_HUMAN),26097885,ATP5G3 in article. May promote ferroptosis.
TFRC,Transferrin receptor,HGNC:11763,Expression of this gene is increased in patients.,Gene expression analysis,Human,Patient PDAC tissues,Deduced,_NA_,Transferrin receptor protein 1,P02786 (TFR1_HUMAN),26097885,May inhibit ferroptosis.
MAFG,MAF bZIP transcription factor G,HGNC:6781,The interaction between NRF2 and MafG was increased in response to erastin and sorafenib.,Western blot,"Human, mice","HepG2, Hepa1‐6, Hep3B, and SNU‐182 cells",Deduced,_NA_,Transcription factor MafG,O15525 (MAFG_HUMAN),26403645,May inhibit ferroptosis.
IL33,Interleukin 33,HGNC:16028,"IL-33 upregulation is a feature of ferroptosis. Ferrostatin-1, an inhibitor of ferroptosis, prevented the upregulation of IL-33.","Western blot, quantitative PCR, ELISA",Mice,C57BL/6 mice,Deduced,_NA_,Interleukin-33,O95760 (IL33_HUMAN),27352622,IL-33 in article. May promote ferroptosis.
FTH1,Ferritin heavy chain 1,HGNC:3976,An increase of endogenous FTH1 level during ferroptosis. Degradation of FTH1 protein upon ferroptosis induction.,"Immunoblotting, q-PCR",Human,HT1080 cells,Validated,"An error may exist in the original article, where the authors wrote ""ferritin light chain 1 (FTH1)"". According to HGNC, FTH1 is the official symbol for ""ferritin heavy chain 1"".",Ferritin heavy chain,P02794 (FRIH_HUMAN),27514700,_NA_
SLC40A1,Solute carrier family 40 member 1,HGNC:10909,Erastin-induced mRNA expression is upregulated in FANCD2-deficient cells.,Q-PCR,Mice,Bone marrow stromal cells,Validated,Used as a marker in this study but has been proved to be a suppressor (PMID 27441659).,Solute carrier family 40 member 1,Q9NP59 (S40A1_HUMAN),27773819,May promote ferroptosis.
TF,Transferrin,HGNC:11740,Erastin-induced mRNA expression is upregulated in FANCD2-deficient cells.,Q-PCR,Mice,Bone marrow stromal cells,Validated,Used as a marker in this study but has been proved to be a driver (PMID 27441659).,Serotransferrin,P02787 (TRFE_HUMAN),27773819,May promote ferroptosis.
TFRC,Transferrin receptor,HGNC:11763,Erastin-induced mRNA expression is upregulated in FANCD2-deficient cells.,Q-PCR,Mice,Bone marrow stromal cells,Validated,Used as a marker in this study but has been proved to be a driver (PMID 27514700).,Transferrin receptor protein 1,P02786 (TFR1_HUMAN),27773819,May promote ferroptosis.
FTH1,Ferritin heavy chain 1,HGNC:3976,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,"Q-PCR, western blot",Mice,Bone marrow stromal cells,Validated,Used as a marker in this study but has been proved to be a suppressor (PMID 26403645).,Ferritin heavy chain,P02794 (FRIH_HUMAN),27773819,May inhibit ferroptosis.
GPX4,Glutathione peroxidase 4,HGNC:4556,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,"Q-PCR, western blot",Mice,Bone marrow stromal cells,Validated,Used as a marker in this study but has been proved to be a suppressor (PMID 25824823).,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),27773819,May inhibit ferroptosis.
HAMP,Hepcidin antimicrobial peptide,HGNC:15598,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,Q-PCR,Mice,Bone marrow stromal cells,Deduced,_NA_,Hepcidin,P81172 (HEPC_HUMAN),27773819,May inhibit ferroptosis.
HSPB1,Heat shock protein family B (small) member 1,HGNC:5246,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,Q-PCR,Mice,Bone marrow stromal cells,Validated,Used as a marker in this study but has been proved to be a suppressor (PMID 25728673).,Heat shock protein beta-1,P04792 (HSPB1_HUMAN),27773819,May inhibit ferroptosis.
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,Q-PCR,Mice,Bone marrow stromal cells,Validated,Used as a marker in this study but has been proved to be a suppressor (PMID 27015352).,Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),27773819,NRF2 in article. May inhibit ferroptosis.
STEAP3,STEAP3 metalloreductase,HGNC:24592,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,Q-PCR,Mice,Bone marrow stromal cells,Deduced,_NA_,Metalloreductase STEAP3,Q658P3 (STEA3_HUMAN),27773819,May inhibit ferroptosis.
DRD5,Dopamine receptor D5,HGNC:3026,Ferroptotic erastin induces DRD5 gene expression in ferroptosis.,"Western blot, Q-PCR",Human,PANC1 cells,Deduced,_NA_,D(1B) dopamine receptor,P21918 (DRD5_HUMAN),27793671,May promote ferroptosis.
GPX4,Glutathione peroxidase 4,HGNC:4556,Erastin promoted GPX4 degradation. Antiferroptotic dopamine increased the protein stability of glutathione peroxidase 4.,"Western blot, Q-PCR",Human,PANC1 cells,Deduced,Has been proved to be a suppressor (PMID 25824823).,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),27793671,May inhibit ferroptosis.
DRD4,Dopamine receptor D4,HGNC:3025,Antiferroptotic dopamine suppressed dopamine receptor D4 protein degradation. Ferroptotic erastin promotes DRD4 protein degradation.,"Western blot, Q-PCR",Human,PANC1 cells,Deduced,_NA_,D(4) dopamine receptor,P21917 (DRD4_HUMAN),27793671,May inhibit ferroptosis.
MAP3K5,Mitogen-activated protein kinase kinase kinase 5,HGNC:6857,"Cold stress evokes ferroptosis, and the ASK1‐p38 pathway is activated downstream of lipid peroxide, leading to the cell death. ASK1‐p38 axis is also activated in the erastin‐induced ferroptosis model.","LDH assay, immunoblot, RNAi, CCK-8",Human,A549 cells,Deduced,_NA_,Mitogen-activated protein kinase kinase kinase 5,Q99683 (M3K5_HUMAN),28887319,ASK1 in article. May promote ferroptosis.
MAPK14,Mitogen-activated protein kinase 14,HGNC:6876,"Cold stress evokes ferroptosis, and the ASK1‐p38 pathway is activated downstream of lipid peroxide, leading to the cell death. ASK1‐p38 axis is also activated in the erastin‐induced ferroptosis model.","LDH assay, immunoblot, RNAi, CCK-8",Human,A549 cells,Deduced,_NA_,Mitogen-activated protein kinase 14,Q16539 (MK14_HUMAN),28887319,p38 in article. May promote ferroptosis.
SLC2A1,Solute carrier family 2 member 1,HGNC:11005,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,"ChIP analysis, RT-qPCR",Human,"H358, A549 cells",Deduced,_NA_,Solute carrier family 2,P11166 (GTR1_HUMAN),28900510,GLUT1 in article. May inhibit ferroptosis.
SLC2A3,Solute carrier family 2 member 3,HGNC:11007,Decreased at LSH knockdown. LSH can inhibit ferroptosis.,RT-qPCR,Human,"H358, A549 cells",Deduced,_NA_,Solute carrier family 2,P11169 (GTR3_HUMAN),28900510,GLUT3 in article. May inhibit ferroptosis.
SLC2A6,Solute carrier family 2 member 6,HGNC:11011,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,RT-qPCR,Human,"H358, A549 cells",Deduced,_NA_,Solute carrier family 2,Q9UGQ3 (GTR6_HUMAN),28900511,GLUT6 in article. May inhibit ferroptosis.
SLC2A8,Solute carrier family 2 member 8,HGNC:13812,Decreased at LSH knockdown. LSH can inhibit ferroptosis.,RT-qPCR,Human,"H358, A549 cells",Deduced,_NA_,Solute carrier family 2,Q9NY64 (GTR8_HUMAN),28900512,GLUT8 in article. May inhibit ferroptosis.
SLC2A12,Solute carrier family 2 member 12,HGNC:18067,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,RT-qPCR,Human,"H358, A549 cells",Deduced,_NA_,Solute carrier family 2,Q8TD20 (GTR12_HUMAN),28900513,GLUT12 in article. May inhibit ferroptosis.
GLUT13,_NA_,_NA_,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,RT-qPCR,Human,"H358, A549 cells",Deduced,_NA_,_NA_,_NA_,28900514,Not found in HGNC. May inhibit ferroptosis.
SLC2A14,Solute carrier family 2 member 14,HGNC:18301,Decreased at LSH knockdown. LSH can inhibit ferroptosis.,RT-qPCR,Human,"H358, A549 cells",Deduced,_NA_,Solute carrier family 2,Q8TDB8 (GTR14_HUMAN),28900515,GLUT14 in article. May inhibit ferroptosis.
EIF2AK4,Eukaryotic translation initiation factor 2 alpha kinase 4,HGNC:19687,CHAC1 degradation of GSH enhances cystine-starvation-induced ferroptosis through the activated GCN2-eIF2 alpha-ATF4 pathway.,"Western blot, real-time PCR, cell viability assay, siRNA, GSH assay kit",Human,"MDA-MB-231, Hs 578T, and HCC 1937 cells",Deduced,_NA_,eIF-2-alpha kinase GCN2,Q9P2K8 (E2AK4_HUMAN),29383104,GCN2 in article. May promote ferroptosis.
